1529.00,vivo iQOO Neo7 SE 8GB+256GB 银河 天玑8200 120W超快闪充 120Hz柔性直屏 5G游戏电竞性能,自营
2099.00,荣耀X40 GT 骁龙888旗舰芯 144Hz高刷电竞屏 66W超级快充 5G手机 8GB+256GB 竞速黑,自营
2589.00,荣耀80 GT 骁龙8+旗舰芯 超帧独显芯片 120Hz原画超帧屏 IMX800主摄 5G手机 12GB+512GB 光雨流星,自营
1799.00,【新品上市】Note12T Pro 5G天玑8200-Ultra 真旗舰芯 LCD 旗舰直屏,自营
2299.00,realme真我GT Neo5 SE 第二代骁龙7+旗舰芯 144Hz 1.5K直屏 100W+5500mAh长续航 16+1TB 最终幻想 5G,自营
3799.00,荣耀Magic5 第二代骁龙8旗舰芯片 荣耀鹰眼相机 5100mAh电池 5G手机 8GB+256GB 亮黑色 20周年纪念款,自营
6999.00,OPPO Find X6 Pro 16GB+512GB 大漠银月 超光影三主摄 哈苏影像 100W闪充 第二代骁龙8旗舰芯片 5G拍照,自营
4908.00,Apple iPhone 13 (A2634) 128GB 星光色 支持移动联通电信5G 双卡双待手机【快充套装】,自营
4299.00,HUAWEI Mate 50 直屏旗舰 超光变XMAGE影像 北斗卫星消息 低电量应急模式 128GB冰霜银华为鸿蒙,自营
7299.00,小米13Ultra 徕卡光学全焦段四摄 2K超色准屏 小米手机 5G手机,自营
4888.00,华为/HUAWEI P60 超聚光XMAGE影像 双向北斗卫星消息 256GB 洛可可白 鸿蒙曲面屏 智能旗舰,自营
3399.00,vivo iQOO Neo8 Pro 16GB+512GB 夜岩 天玑9200+ 自研芯片V1+ 120W超快闪充 144Hz高刷 5G游戏电竞性能,自营
2469.00,vivo S17 8GB+256GB 山海青 前置5000万广角柔光 后置智慧柔光环 1.5K超视网膜屏 5G 快充 拍照,自营
2499.00,OPPO Reno10 8GB+256GB 溢彩蓝 6400 万水光人像 超光影长焦镜头 80W超级闪充 120Hz OLED 超清曲面屏 5G,自营
909.00,华为畅享 50z 5000万高清AI三摄 5000mAh超能续航 128GB 宝石蓝 大内存鸿蒙智能,自营
3688.00,HUAWEI P50 Pro 原色双影像单元 万象双环设计 基于鸿蒙操作系统 8GB+128GB可可茶金 华为,自营
3299.00,"京品手机
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待",自营
1199.00,华为/HUAWEI 畅享60 6000mAh+22.5W超级快充 4800万大底超清影像 128GB 幻夜黑 鸿蒙智能,自营
1899.00,OPPO K11x 12GB+256GB 珠光 1亿超清影像 超大内存 长寿版 67W 超级闪充 120Hz 高帧竞速屏 5G,自营
4299.00,OPPO Reno10 Pro+ 16GB+512GB 暮光紫 骁龙 8+ 旗舰芯片 旗舰级超光影潜望长焦 100W超级闪充 超大内存5G,自营
3799.00,vivo X90 8GB+256GB 冰蓝 4nm天玑9200旗舰芯片 自研芯片V2 120W双芯闪充 蔡司影像 5G 拍照,自营
5399.00,小米13Pro徕卡光学镜头 120W秒充 2K曲面屏5G手机,自营
2449.00,HUAWEI nova 11 前置6000万超广角人像 6.88毫米超薄臻彩直屏 128GB 曜金黑 华为鸿蒙智能,自营
5999.00,vivo iQOO 11 Pro 16GB+512GB 赛道版 200W超快闪充 第二代骁龙8 2K 144Hz E6 全感屏 自研芯片V2 5G电竞,自营
2299.00,vivo iQOO Neo8 骁龙8+ 144Hz护眼直屏 自研芯片V1+ 120W闪充5G游戏手机 12GB+256GB 夜岩 官方标配,新品
5579.00,三星 SAMSUNG Galaxy S22 Ultra 超视觉夜拍系统 超耐用精工设计 大屏S Pen书写 12GB+256GB 曜夜黑 5G,自营
5999.00,HUAWEI Mate 50 Pro 曲面旗舰 超光变XMAGE影像 北斗卫星消息 256GB 曜金黑 华为鸿蒙,自营
5399.00,小米13Pro徕卡光学镜头 120W秒充 2K曲面屏5G手机,自营
3199.00,魅族 20 12GB+256GB 先锋灰 第二代骁龙8旗舰芯片 144Hz电竞直屏 支持67W快充 超薄机身设计 5G,自营
5399.00,Apple iPhone 14 (A2884) 128GB 星光色 支持移动联通电信5G 双卡双待手机,自营
